timestamp,model,pattern,run_id,seed,grade,final_score,lost,energy_j,wall_s,avg_power_w,input_tokens,output_tokens,llm_calls,llm_failures,n_agents,baseline_power_w,concern_order
2026-06-22T20:22:31.104Z,nvidia/Qwen3.5-122B-A10B-NVFP4,baseline,1,decidarch-classic-run1,Lost,15,true,20960,578.7,36.2,13053,7766,12,0,1,11.5,concern-3|concern-4|concern-1|concern-9|concern-2|concern-8|concern-5|concern-6|concern-21|concern-10
2026-06-22T20:59:37.599Z,nvidia/Qwen3.5-122B-A10B-NVFP4,role,1,decidarch-classic-run1,Lost,9,true,80907.5,2222.7,36.4,78522,29677,67,0,5,16.6,concern-3|concern-4|concern-1|concern-9|concern-2|concern-8|concern-5|concern-6|concern-21|concern-10
2026-06-22T21:59:49.622Z,nvidia/Qwen3.5-122B-A10B-NVFP4,voting,1,decidarch-classic-run1,Lost,14,true,131027.7,3608.2,36.3,190093,47835,109,0,5,14.9,concern-3|concern-4|concern-1|concern-9|concern-2|concern-8|concern-5|concern-6|concern-21|concern-10
2026-06-22T23:24:18.482Z,nvidia/Qwen3.5-122B-A10B-NVFP4,debate,1,decidarch-classic-run1,Lost,7,true,187751.1,5065.1,37.1,515860,65582,165,0,5,15,concern-3|concern-4|concern-1|concern-9|concern-2|concern-8|concern-5|concern-6|concern-21|concern-10
2026-06-22T23:30:23.764Z,nvidia/Qwen3.5-122B-A10B-NVFP4,baseline,2,decidarch-classic-run2,Lost,8,true,12953.7,361.5,35.8,10188,4813,11,0,1,14.4,concern-3|concern-10|concern-2|concern-21|concern-4|concern-9|concern-6|concern-1|concern-8|concern-5
2026-06-23T00:28:43.955Z,nvidia/Qwen3.5-122B-A10B-NVFP4,role,2,decidarch-classic-run2,Lost,7,true,125933.9,3496.4,36,101067,46922,74,0,5,15,concern-3|concern-10|concern-2|concern-21|concern-4|concern-9|concern-6|concern-1|concern-8|concern-5
2026-06-23T01:36:35.474Z,nvidia/Qwen3.5-122B-A10B-NVFP4,voting,2,decidarch-classic-run2,Lost,12,true,147515.2,4067.7,36.3,186662,54126,112,0,5,14.9,concern-3|concern-10|concern-2|concern-21|concern-4|concern-9|concern-6|concern-1|concern-8|concern-5
2026-06-23T03:03:01.259Z,nvidia/Qwen3.5-122B-A10B-NVFP4,debate,2,decidarch-classic-run2,Lost,14,true,190495.1,5182,36.8,512264,67306,166,0,5,14.7,concern-3|concern-10|concern-2|concern-21|concern-4|concern-9|concern-6|concern-1|concern-8|concern-5
2026-06-23T03:10:34.339Z,nvidia/Qwen3.5-122B-A10B-NVFP4,baseline,3,decidarch-classic-run3,Sufficient,8,false,15975.8,449.3,35.6,12448,6020,12,0,1,14.4,concern-10|concern-21|concern-9|concern-2|concern-4|concern-3|concern-5|concern-6|concern-1|concern-8
2026-06-23T03:53:36.266Z,nvidia/Qwen3.5-122B-A10B-NVFP4,role,3,decidarch-classic-run3,Lost,13,true,91891.9,2578.2,35.6,87040,34605,68,0,5,14.7,concern-10|concern-21|concern-9|concern-2|concern-4|concern-3|concern-5|concern-6|concern-1|concern-8
2026-06-23T05:02:40.962Z,nvidia/Qwen3.5-122B-A10B-NVFP4,voting,3,decidarch-classic-run3,Lost,7,true,150321.9,4140.9,36.3,193499,55114,115,0,5,14.4,concern-10|concern-21|concern-9|concern-2|concern-4|concern-3|concern-5|concern-6|concern-1|concern-8
2026-06-23T06:25:45.624Z,nvidia/Qwen3.5-122B-A10B-NVFP4,debate,3,decidarch-classic-run3,Lost,8,true,185733,4980.9,37.3,481665,64627,166,0,5,15.8,concern-10|concern-21|concern-9|concern-2|concern-4|concern-3|concern-5|concern-6|concern-1|concern-8
2026-06-23T06:33:44.381Z,nvidia/Qwen3.5-122B-A10B-NVFP4,baseline,4,decidarch-classic-run4,Lost,13,true,17192.7,474.9,36.2,12976,6339,12,0,1,15.2,concern-3|concern-21|concern-4|concern-10|concern-1|concern-8|concern-5|concern-9|concern-2|concern-6
2026-06-23T07:23:51.882Z,nvidia/Qwen3.5-122B-A10B-NVFP4,role,4,decidarch-classic-run4,Lost,13,true,107656.4,3003.7,35.8,92258,40321,71,1,5,15,concern-3|concern-21|concern-4|concern-10|concern-1|concern-8|concern-5|concern-9|concern-2|concern-6
2026-06-23T08:29:05.100Z,nvidia/Qwen3.5-122B-A10B-NVFP4,voting,4,decidarch-classic-run4,Good,10,false,140845.2,3909.5,36,178925,52114,110,0,5,15.3,concern-3|concern-21|concern-4|concern-10|concern-1|concern-8|concern-5|concern-9|concern-2|concern-6
2026-06-23T10:00:08.431Z,nvidia/Qwen3.5-122B-A10B-NVFP4,debate,4,decidarch-classic-run4,Lost,16,true,200396.2,5459.5,36.7,500929,71134,170,0,5,14.8,concern-3|concern-21|concern-4|concern-10|concern-1|concern-8|concern-5|concern-9|concern-2|concern-6
2026-06-23T10:02:53.657Z,nvidia/Qwen3.5-122B-A10B-NVFP4,baseline,5,decidarch-classic-run5,Lost,10,true,5753.9,161.4,35.6,7322,2102,10,0,1,14.3,concern-4|concern-5|concern-9|concern-8|concern-10|concern-3|concern-21|concern-2|concern-1|concern-6
2026-06-23T10:32:20.314Z,nvidia/Qwen3.5-122B-A10B-NVFP4,role,5,decidarch-classic-run5,Good,13,false,63446.3,1762.8,36,68721,23431,62,0,5,15.4,concern-4|concern-5|concern-9|concern-8|concern-10|concern-3|concern-21|concern-2|concern-1|concern-6
2026-06-23T11:29:06.687Z,nvidia/Qwen3.5-122B-A10B-NVFP4,voting,5,decidarch-classic-run5,Lost,8,true,123014.1,3402.5,36.2,174909,45053,110,0,5,13.7,concern-4|concern-5|concern-9|concern-8|concern-10|concern-3|concern-21|concern-2|concern-1|concern-6
2026-06-23T12:58:46.208Z,nvidia/Qwen3.5-122B-A10B-NVFP4,debate,5,decidarch-classic-run5,Lost,8,true,199869.9,5375.7,37.2,504893,69726,168,0,5,14.8,concern-4|concern-5|concern-9|concern-8|concern-10|concern-3|concern-21|concern-2|concern-1|concern-6
2026-06-23T13:04:23.910Z,nvidia/Gemma-4-26B-A4B-NVFP4,baseline,1,decidarch-classic-run1,Lost,12,true,6406.6,187.2,34.2,7308,5119,10,0,1,11.9,concern-3|concern-4|concern-1|concern-9|concern-2|concern-8|concern-5|concern-6|concern-21|concern-10
